dataset,layer_id,num_tokens,min_entropy,mean_entropy,diversity_ratio,fragmentation_ratio,min_entropy_l2,mean_l2
kv_retrieval,7,50048,0.0020,0.9453,0.7427,0.8734,13.4375,16.7500
kv_retrieval,8,50048,0.0000,0.7656,0.6945,0.8883,22.0000,21.8750
kv_retrieval,9,50048,0.0008,1.3516,0.7199,0.9004,14.0000,15.7500
kv_retrieval,10,50048,0.0000,1.1094,0.6515,0.8775,25.6250,22.2500
kv_retrieval,11,50048,0.0000,1.0391,0.5301,0.8105,36.7500,22.5000
kv_retrieval,12,50048,0.0012,0.9727,0.6448,0.8230,25.6250,18.1250
kv_retrieval,13,50048,0.0002,1.1328,0.6289,0.9028,24.5000,15.5000
kv_retrieval,14,50048,0.0000,0.4648,0.6908,0.8667,19.1250,17.7500
kv_retrieval,15,50048,0.0000,0.8750,0.6992,0.8500,27.5000,19.2500
kv_retrieval,16,50048,0.0000,0.5039,0.6094,0.7129,17.7500,15.4375
kv_retrieval,17,50048,0.0000,0.6562,0.6791,0.7555,16.5000,16.2500
kv_retrieval,18,50048,0.0000,0.7617,0.6682,0.7958,14.5625,18.7500
kv_retrieval,19,50048,0.0005,0.8164,0.7757,0.7550,15.5625,19.0000
kv_retrieval,20,50048,0.0001,0.6328,0.5893,0.7945,15.8125,17.1250
kv_retrieval,21,50048,0.0000,0.5547,0.6749,0.7495,19.2500,17.5000
kv_retrieval,22,50048,0.0000,0.4180,0.6984,0.8122,16.5000,15.9375
kv_retrieval,23,50048,0.0000,0.7031,0.7059,0.8289,21.2500,17.0000
kv_retrieval,24,50048,0.0000,0.5352,0.6487,0.8452,18.6250,19.0000
kv_retrieval,25,50048,0.0000,0.7422,0.7676,0.8473,20.1250,18.3750
kv_retrieval,26,50048,0.0000,0.6289,0.8265,0.8899,18.6250,18.2500
kv_retrieval,27,50048,0.0000,1.0547,0.7949,0.8315,126.0000,22.6250
kv_retrieval,0,100224,1.7969,6.9062,0.7257,0.8401,178.0000,19.7500
kv_retrieval,1,100224,0.3086,6.2188,0.8351,0.9442,9.6875,9.3750
kv_retrieval,2,100224,0.0233,2.5625,0.7023,0.9638,9.0625,10.8125
kv_retrieval,3,100224,0.0001,3.6719,0.7854,0.9556,10.6875,9.8125
kv_retrieval,4,100224,0.0011,0.5078,0.7489,0.9005,13.0625,21.8750
kv_retrieval,5,100224,0.0000,0.7539,0.7564,0.9491,18.1250,19.8750
kv_retrieval,6,100224,0.0009,1.8125,0.7564,0.9203,20.3750,20.1250
kv_retrieval,7,100224,0.0166,1.1484,0.7651,0.9110,16.0000,17.0000
kv_retrieval,8,100224,0.0001,0.9492,0.7090,0.9284,22.1250,22.0000
